"","unigram","n"
"1500","simply",29
"1501","stroke",29
"1502","sweeter",29
"1503","tcha",29
"1504","ting",29
"1505","weren",29
"1506","artist",28
"1507","beef",28
"1508","board",28
"1509","brave",28
"1510","butter",28
"1511","cars",28
"1512","chaos",28
"1513","conceive",28
"1514","convince",28
"1515","cook",28
"1516","crank",28
"1517","definition",28
"1518","dogg",28
"1519","dreamin",28
"1520","ë",28
"1521","earn",28
"1522","explode",28
"1523","facts",28
"1524","false",28
"1525","fashion",28
"1526","fence",28
"1527","fish",28
"1528","flood",28
"1529","government",28
"1530","grin",28
"1531","key",28
"1532","lake",28
"1533","miller",28
"1534","misunderstand",28
"1535","months",28
"1536","nearly",28
"1537","neighborhood",28
"1538","orange",28
"1539","pale",28
"1540","riddim",28
"1541","role",28
"1542","ruin",28
"1543","salvation",28
"1544","slippin",28
"1545","spine",28
"1546","split",28
"1547","tail",28
"1548","thug",28
"1549","tragedy",28
"1550","unwind",28
"1551","vocals",28
"1552","abandon",27
"1553","back",27
"1554","barely",27
"1555","benz",27
"1556","biggest",27
"1557","boog",27
"1558","civilization",27
"1559","cookin",27
"1560","crumble",27
"1561","downtown",27
"1562","fiddle",27
"1563","fuss",27
"1564","grey",27
"1565","grief",27
"1566","gyal",27
"1567","hardest",27
"1568","honest",27
"1569","hotel",27
"1570","idea",27
"1571","indians",27
"1572","inspire",27
"1573","lipstick",27
"1574","loot",27
"1575","mate",27
"1576","medicine",27
"1577","milk",27
"1578","nasty",27
"1579","neighbor",27
"1580","ohoh",27
"1581","pill",27
"1582","pink",27
"1583","plot",27
"1584","powder",27
"1585","prop",27
"1586","rank",27
"1587","rapper",27
"1588","riot",27
"1589","sensation",27
"1590","sleepin",27
"1591","stitch",27
"1592","sunset",27
"1593","tangle",27
"1594","tattoo",27
"1595","thirty",27
"1596","thread",27
"1597","ã",26
"1598","affection",26
"1599","afternoon",26
"1600","arise",26
"1601","await",26
"1602","bambalam",26
"1603","be",26
"1604","bill",26
"1605","burnin",26
"1606","clearly",26
"1607","commit",26
"1608","content",26
"1609","credit",26
"1610","curtain",26
"1611","defend",26
"1612","diggy",26
"1613","doom",26
"1614","fit",26
"1615","frown",26
"1616","glorious",26
